Cod_Reg	Nome_Reg	LavAnPer	Hortali	Pomar	IndDoRu	ProdAni
CMD1	 Capitão Felizardo	cana, milho, feijão, mandioca, café	Possui	banana, laranja, carambola, acerola, manga, uva, limão, goiaba	queijo, doces, cachaça, farinha de mandioca, fubá de milho	galinha (ovos), suínos, gado (para atividade leiteira)
CMD2	 Costa Sena e Goiabeiras	cana, milho, feijão, mandioca, café	Possui	banana, laranja, acerola, manga, limão, abacate e goiaba	queijo, requeijão, polvilho, farinha de mandioca	galinha (ovos), suínos e gado (para atividade leiteira)
CMD3	 Tapera e Santo Antônio do Cruzeiro	milho, mandioca, amendoim, inhame e café   	Possui	banana, laranja, manga	quitandas (biscoito de polvilho, biscoito de amendoim, rosquinhas e pão de goiabada), doces (de laranja, limão, goiaba), geleias de frutas	galinha (ovos)
CMD4	 Ouro Fino e Córregos	milho, mandioca, feijão, café	Possui	banana, laranja, carambola, acerola, caqui, goiaba	queijo, requeijão, quitandas, doce de leite	galinha (ovos), gado (para atividade leiteira), suínos e peixes
CMD5	 Água Quente e Sapo	cana, milho, feijão, mandioca, café	Não são mais cultivadas devido à falta d’água, com exceção da comunidade de Passa Sete	frutas não desenvolvem mais em seus quintais	queijo (somente para consumo), farinha de mandioca	galinha (ovos), gado (para atividade leiteira)
CMD6	 Parauninha e Itacolomi	mandioca, cana, milho, feijão	Possui	banana, laranja, manga, uvaia, goiaba	farinha de mandioca, cachaça, rapadura e doces	galinha (ovos), gado (para atividade leiteira)
CMD7	 Tabuleiro	mandioca, cana, milho, amendoim, feijão, inhame, café e batata doce	Possui	banana, laranja, manga, jabuticaba,  goiaba	farinha de mandioca, cachaça e rapadura	galinha (ovos), suínos e abelhas
CMD8	Três Barras, Buraco e Cubas	feijão, milho, mandioca, cana e café	Possui	banana, laranja, manga, mamão, mexerica, limão, goiaba	 queijo, fubá, mel, farinha de mandioca	galinha (ovos), gado (para a atividade leiteira), abelhas e peixes
CMD9	 Brejaúba e Socorro	milho, mandioca, feijão, amendoim e café	Possui	banana, laranja, manga, jabuticaba, mexerica, goiaba	queijo, requeijão, muçarela, quitandas, fubá de milho, rapadura	galinha (ovos), gado (para atividade leiteira), suínos, abelhas
AM1	 Lapinha e Ribeirão Santana	cana, milho, feijão, mandioca e café	Possui	banana, laranja, acerola, manga, mexerica, mamão, goiaba	queijo (certificado), doces, geleias, quitandas, farinha de mandioca e rala de queijo	galinha (ovos), gado (para atividade leiteira), suínos, peixes
AM2	 Fazenda da Ponte	milho, cana, feijão, inhame e mandioca	Possui	banana, laranja, acerola, manga, mamão, limão e goiaba	queijo (certificado), cachaça e farinha de mandioca	galinha (ovos), gado (para atividade leiteira), suínos
AM3	 Descoberto e Bom Jesus	milho, feijão, mandioca, café	Possui	banana, laranja e acerola	farinha de mandioca	galinha (ovos), gado, suínos e peixes
AM4	 Morro dos Monteiros	Milho, feijão,  mandioca e café	Possui	banana	farinha de mandioca	galinha (ovos),  peixe
AM5	 Ribeirão de Trás	milho, cana, feijão, mandioca, arroz, inhame, café	Possui	banana, laranja, acerola, mamão, mexerica e goiaba	queijo, farinha de mandioca, doces, geleias, rapadura e melado	galinha (ovos), gado (para atividade leiteira), suínos
DJ1	 Cachoeira	milho, cana, feijão, arroz, café,mandioca	Possui	banana, laranja, acerola, mamão, abacate, mexerica e goiaba	queijo, rapadura e melado	galinha (ovos), gado (para atividade leiteira), suínos
DJ2	 Machados	milho, cana, feijão, cafe	Possui	banana, laranja, carambola, mexerica e abacaxi	quitandas, doces e requeijão	galinha (ovos), gado (para atividade leiteira), suínos
DJ3	 São José da Ilha	milho, cana, feijão e mandioca	Possui	mamão, manga, goiaba, laranja e mexerica	quitandas, doce de leite, doces de frutas (cidra, mamão, manga e goiaba) e cachaça	 galinha (ovos), gado (para atividade leiteira), suínos
DJ4	 Sesmaria e Serra	milho, cana, feijão, mandioca, café	Possui	banana, laranja, acerola, manga, amora, graviola e goiaba	queijo, requeijão, muçarela, provolone, iogurte, doce de leite, quitandas, doces e geleias de frutas diversas	galinha (ovos), gado (para atividade leiteira), suínos, abelhas
DJ5	 São João	milho, cana, feijão, café e mandioca	Possui	banana, laranja, pera, goiaba e araçá	mel, própolis e cachaça	galinha, ovos e abelhas
